epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,708.822,0.64707,0.52544,0.87958,0.09137,1,0.09166,0.07443,0.58495,608.327,0.81464,0.00199904,0.00199904,0.00199904
44,720.665,0.71928,0.53346,0.87236,0.0886,1,0.08862,0.07227,0.57238,691.998,0.8092,0.001999,0.001999,0.001999
45,733.151,0.66386,0.52742,0.86129,0.07944,1,0.08023,0.06654,0.53898,1013.53,0.80428,0.00199895,0.00199895,0.00199895
46,743.124,0.65271,0.53156,0.8938,0.06747,1,0.06731,0.05645,0.53927,1246.82,0.80568,0.0019989,0.0019989,0.0019989
47,752.065,0.65878,0.53265,0.9365,0.08989,1,0.08978,0.07525,0.54477,717.061,0.80873,0.00199885,0.00199885,0.00199885
48,758.952,0.74642,0.52646,0.8679,0.1069,1,0.10891,0.09036,0.5638,417.262,0.81273,0.0019988,0.0019988,0.0019988
49,765.002,0.65703,0.53304,0.97259,0.12385,1,0.12348,0.10421,0.56064,211.605,0.81395,0.00199875,0.00199875,0.00199875
50,770.721,0.66818,0.55305,0.91532,0.17915,1,0.17926,0.15341,0.53434,86.7068,0.81299,0.0019987,0.0019987,0.0019987
51,775.625,0.63438,0.52279,0.87356,0.25256,1,0.25148,0.2168,0.49533,519.693,0.8042,0.00199864,0.00199864,0.00199864
52,781.438,0.63375,0.50818,0.8754,0.20344,1,0.20433,0.17712,0.4904,1109.96,0.80421,0.00199859,0.00199859,0.00199859
53,786.657,0.63984,0.49508,0.85206,0.16991,1,0.16994,0.14823,0.49467,1922.01,0.80784,0.00199853,0.00199853,0.00199853
54,798.688,0.7015,0.5236,0.89419,0.16497,1,0.16462,0.13965,0.52467,1715.92,0.81227,0.00199848,0.00199848,0.00199848
55,805.64,0.57275,0.51253,0.89892,0.16263,1,0.1623,0.13594,0.55858,2204.18,0.81518,0.00199842,0.00199842,0.00199842
56,810.802,0.6094,0.50808,0.87903,0.19976,1,0.19958,0.16582,0.55854,1458.73,0.81103,0.00199836,0.00199836,0.00199836
57,815.918,0.57462,0.46705,0.86181,0.1999,1,0.19958,0.16843,0.52388,1916.67,0.80357,0.0019983,0.0019983,0.0019983
58,820.966,0.64767,0.49574,0.87246,0.22754,1,0.22809,0.19556,0.50781,1528.34,0.799,0.00199824,0.00199824,0.00199824
59,827.244,0.58965,0.46194,0.82965,0.25726,1,0.25618,0.21927,0.49624,1220.46,0.79544,0.00199817,0.00199817,0.00199817
60,832.706,0.6036,0.45611,0.85446,0.26505,1,0.26508,0.21992,0.53761,1033.37,0.80117,0.00199811,0.00199811,0.00199811
61,837.444,0.63182,0.47658,0.91632,0.26031,1,0.26006,0.20576,0.57239,1240.11,0.8098,0.00199805,0.00199805,0.00199805
62,844.235,0.57106,0.48994,0.87533,0.27265,1,0.27244,0.2165,0.55445,1364.84,0.80962,0.00199798,0.00199798,0.00199798
63,848.9,0.63069,0.47821,0.86651,0.24542,1,0.24608,0.20507,0.51655,1555.83,0.80741,0.00199791,0.00199791,0.00199791
64,853.849,0.61092,0.46448,0.87044,0.20944,1,0.20868,0.17835,0.49702,1924.6,0.80463,0.00199785,0.00199785,0.00199785
65,859.228,0.6403,0.46273,0.89532,0.1734,1,0.17337,0.14981,0.47818,1623.48,0.80114,0.00199778,0.00199778,0.00199778
66,864.866,0.55838,0.44344,0.84597,0.23333,1,0.23273,0.20008,0.49048,738.648,0.79968,0.00199771,0.00199771,0.00199771
67,871.361,0.56387,0.45838,0.85201,0.43385,1,0.4365,0.37617,0.48652,105.024,0.79301,0.00199764,0.00199764,0.00199764
68,876.439,0.59782,0.47445,0.83163,0.48929,0.9997,0.48691,0.424,0.49144,35.1169,0.79495,0.00199756,0.00199756,0.00199756
69,881.905,0.57178,0.45798,0.8674,0.42254,1,0.4212,0.35827,0.49194,250.742,0.79416,0.00199749,0.00199749,0.00199749
70,885.935,0.56268,0.46337,0.83151,0.38893,1,0.38788,0.33137,0.49125,626.695,0.79645,0.00199742,0.00199742,0.00199742
71,891.808,0.60577,0.46554,0.83798,0.37454,1,0.37313,0.31696,0.51761,699.752,0.80018,0.00199734,0.00199734,0.00199734
72,904.313,0.59184,0.44938,0.86657,0.36646,1,0.36519,0.30475,0.52929,469.213,0.80152,0.00199726,0.00199726,0.00199726
73,911.229,0.56892,0.47223,0.91234,0.34026,1,0.33988,0.2912,0.49151,350.361,0.79771,0.00199719,0.00199719,0.00199719
74,916.039,0.63758,0.48162,0.88538,0.2693,1,0.26818,0.22923,0.48967,280.502,0.79928,0.00199711,0.00199711,0.00199711
75,920.178,0.61523,0.45033,0.87595,0.18055,1,0.18163,0.15727,0.48207,434.313,0.80294,0.00199703,0.00199703,0.00199703
76,924.399,0.65525,0.47288,0.889,0.14557,1,0.14515,0.12546,0.49076,686.179,0.80347,0.00199695,0.00199695,0.00199695
77,929.565,0.56769,0.44371,0.86246,0.15583,1,0.1559,0.13499,0.50853,540.1,0.80428,0.00199687,0.00199687,0.00199687
78,934.298,0.59292,0.46354,0.93219,0.16604,1,0.16543,0.14211,0.49631,650.077,0.80295,0.00199678,0.00199678,0.00199678
79,940.097,0.61659,0.48896,0.93157,0.13704,1,0.13649,0.11885,0.4688,1195.3,0.79857,0.0019967,0.0019967,0.0019967
80,946.374,0.55,0.43277,0.85902,0.12737,1,0.1269,0.11125,0.48333,1944.46,0.79861,0.00199661,0.00199661,0.00199661
81,951.216,0.61609,0.47679,0.91267,0.12512,1,0.12483,0.10856,0.50249,1849.26,0.80049,0.00199653,0.00199653,0.00199653
82,956.613,0.57325,0.41766,0.84403,0.14735,1,0.14701,0.12673,0.53335,371.246,0.80423,0.00199644,0.00199644,0.00199644
83,961.448,0.70378,0.47826,0.87945,0.18865,1,0.18861,0.16685,0.51064,310.375,0.80295,0.00199635,0.00199635,0.00199635
84,966.009,0.5287,0.46294,0.86573,0.27643,1,0.27572,0.24522,0.46034,78.2745,0.79514,0.00199626,0.00199626,0.00199626
85,971.368,0.58413,0.41125,0.87589,0.28363,1,0.2837,0.24681,0.47482,55.7547,0.79685,0.00199617,0.00199617,0.00199617
86,977.161,0.60552,0.43729,0.87957,0.26025,1,0.26006,0.2248,0.48726,65.7321,0.79747,0.00199608,0.00199608,0.00199608
87,984.142,0.6211,0.47698,0.88531,0.23662,1,0.23593,0.20628,0.48185,71.3835,0.79666,0.00199599,0.00199599,0.00199599
88,988.973,0.59062,0.47237,0.90201,0.23594,1,0.23512,0.20628,0.47812,82.7654,0.79526,0.00199589,0.00199589,0.00199589
89,993.68,0.55519,0.42445,0.87223,0.22971,1,0.22885,0.19817,0.48624,229.211,0.79697,0.0019958,0.0019958,0.0019958
90,999.416,0.56362,0.42113,0.89031,0.21175,1,0.2119,0.17904,0.50382,210.259,0.79978,0.0019957,0.0019957,0.0019957
91,1005.85,0.54298,0.42803,0.889,0.19876,1,0.19958,0.17647,0.48272,495.777,0.79435,0.00199561,0.00199561,0.00199561
92,1010.23,0.57412,0.40853,0.82483,0.2038,1,0.20372,0.18073,0.44798,533.953,0.78769,0.00199551,0.00199551,0.00199551
93,1015.3,0.55887,0.42811,0.81346,0.18691,1,0.18656,0.16415,0.43525,223.41,0.78716,0.00199541,0.00199541,0.00199541
94,1020.93,0.51594,0.44743,0.85291,0.15697,1,0.15639,0.13239,0.4714,309.99,0.79228,0.00199531,0.00199531,0.00199531
95,1025.6,0.57012,0.44903,0.86265,0.26385,1,0.26305,0.21846,0.49877,59.3538,0.7952,0.00199521,0.00199521,0.00199521
96,1030.52,0.5904,0.43202,0.90156,0.37259,1,0.37111,0.31724,0.47359,34.4396,0.79225,0.00199511,0.00199511,0.00199511
97,1035.98,0.5234,0.40132,0.83008,0.48564,1,0.48349,0.42621,0.43059,22.4705,0.78641,0.001995,0.001995,0.001995
98,1040.77,0.54841,0.4091,0.86691,0.45063,1,0.45104,0.39866,0.41802,40.1427,0.78451,0.0019949,0.0019949,0.0019949
99,1046.95,0.4497,0.38184,0.82904,0.47849,1,0.47983,0.41691,0.43438,25.4479,0.78653,0.00199479,0.00199479,0.00199479
100,1052.05,0.52881,0.38546,0.82168,0.5475,1,0.55003,0.47292,0.47237,18.2899,0.79363,0.00199468,0.00199468,0.00199468
101,1056.11,0.66661,0.42364,0.89464,0.60513,0.99944,0.60409,0.51416,0.49766,13.2017,0.79972,0.00199458,0.00199458,0.00199458
102,1060.48,0.62196,0.45163,0.87893,0.56541,1,0.56275,0.48196,0.49436,7.62983,0.80099,0.00199447,0.00199447,0.00199447
103,1064.97,0.53492,0.41504,0.84676,0.48561,1,0.48673,0.42302,0.48307,12.1117,0.79899,0.00199436,0.00199436,0.00199436
